instance_id,algorithm,variant,cost,tour_length,feasible,runtime_seconds,num_nodes,num_edges,network_family,size,gap_from_classical,gap_from_best_known,metadata
random_medium_6,cpp_lc_fast,load_dependent,2553.3252663641574,242,True,0.04232287406921387,60,474,from_data_dir,various,-64.98908771018762,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 237, 'iterations': 237}"
random_small_11,cpp_lc_fast,load_dependent,464.663842954723,47,True,0.0019512176513671875,25,83,from_data_dir,various,-65.47174821963246,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 42, 'iterations': 42}"
grid_medium_0,cpp_lc_fast,load_dependent,490.5356295627575,58,True,0.0041921138763427734,56,97,from_data_dir,various,-58.3092387778974,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 49, 'iterations': 49}"
random_small_13,cpp_lc_fast,load_dependent,459.2254178619858,48,True,0.002228975296020508,25,83,from_data_dir,various,-65.38741810348738,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 42, 'iterations': 42}"
grid_medium_2,cpp_lc_fast,load_dependent,432.7730450037732,58,True,0.004488945007324219,56,97,from_data_dir,various,-61.229746968585864,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 49, 'iterations': 49}"
random_medium_5,cpp_lc_fast,load_dependent,2403.22399912362,220,True,0.0363309383392334,60,429,from_data_dir,various,-64.39484054734011,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 215, 'iterations': 215}"
grid_medium_3,cpp_lc_fast,load_dependent,410.0737081474089,57,True,0.0040531158447265625,56,97,from_data_dir,various,-63.64403736825119,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 49, 'iterations': 49}"
random_small_12,cpp_lc_fast,load_dependent,475.5863160822213,54,True,0.0024080276489257812,25,98,from_data_dir,various,-65.84098049519199,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 49, 'iterations': 49}"
random_small_9,cpp_lc_fast,load_dependent,352.57422175853134,44,True,0.0018579959869384766,25,78,from_data_dir,various,-69.31728488077371,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 39, 'iterations': 39}"
random_small_8,cpp_lc_fast,load_dependent,472.9071317493742,50,True,0.002377033233642578,25,89,from_data_dir,various,-61.66522522507976,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 45, 'iterations': 45}"
random_small_7,cpp_lc_fast,load_dependent,494.45534803369617,47,True,0.0019497871398925781,25,83,from_data_dir,various,-63.59248843676282,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 42, 'iterations': 42}"
clustered_medium_12,cpp_lc_fast,load_dependent,405.20618576500453,99,True,0.008092164993286133,48,180,from_data_dir,various,-63.175417619592345,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 90, 'iterations': 90}"
random_medium_8,cpp_lc_fast,load_dependent,2526.5167215402143,230,True,0.03693389892578125,60,450,from_data_dir,various,-65.51479235630264,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 225, 'iterations': 225}"
random_medium_9,cpp_lc_fast,load_dependent,2397.94738104188,224,True,0.03563117980957031,60,437,from_data_dir,various,-65.01679072187984,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 219, 'iterations': 219}"
grid_small_6,cpp_lc_fast,load_dependent,107.8971618864471,21,True,0.0004642009735107422,20,31,from_data_dir,various,-65.53029982598139,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 16, 'iterations': 16}"
grid_small_4,cpp_lc_fast,load_dependent,97.5895646469958,22,True,0.0004658699035644531,20,31,from_data_dir,various,-66.73616004073213,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 16, 'iterations': 16}"
grid_small_5,cpp_lc_fast,load_dependent,115.23973262178446,21,True,0.00046181678771972656,20,31,from_data_dir,various,-67.70106149788504,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 16, 'iterations': 16}"
grid_small_1,cpp_lc_fast,load_dependent,134.51176903250072,20,True,0.0004601478576660156,20,31,from_data_dir,various,-62.50365051698942,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 0, 'edges_serviced': 16, 'iterations': 16}"
grid_small_0,cpp_lc_fast,load_dependent,135.17742803502813,22,True,0.00043892860412597656,20,31,from_data_dir,various,-57.46272111442353,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 16, 'iterations': 16}"
grid_small_2,cpp_lc_fast,load_dependent,131.1763312651174,21,True,0.00043511390686035156,20,31,from_data_dir,various,-65.11565746933871,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 16, 'iterations': 16}"
grid_small_3,cpp_lc_fast,load_dependent,142.70443172096847,22,True,0.0004458427429199219,20,31,from_data_dir,various,-57.29328354606045,,"{'method': 'ultra_fast_greedy', 'assumptions': ['Pre-computed shortest paths', 'Linear load-dependent costs', 'Greedy nearest edge selection', 'Single vehicle'], 'complexity': 'O(E² + V² log V)', 'trips_to_depot': 1, 'edges_serviced': 16, 'iterations': 16}"
